pid,night_number,condition,episode_index,train_index,disruptive_took_place,disruptive_start_epoch_sec,first_induction_epoch_sec,train_end_epoch_sec,train_duration_sec,induction_cues_count
379172703886,20,7,4,0,True,15914,16034,16035,121,1
379172703886,20,7,5,0,True,16443,16563,16564,121,1
379172703886,20,7,6,0,True,16959,17079,17080,121,1
379172703886,1,1,0,0,True,14521,14641,14715,194,25
379172703886,1,1,0,1,True,15015,15135,15137,122,1
379172703886,1,1,1,0,True,17601,17721,17722,121,1
379172703886,1,1,2,0,True,19257,19377,19397,140,7
379172703886,1,1,3,0,True,20012,20132,20133,121,1
379172703886,16,5,5,0,False,14639,14759,14846,207,29
379172703886,16,5,5,1,False,14846,14966,15010,164,15
379172703886,16,5,17,0,False,16250,16370,16371,121,1
379172703886,16,5,33,0,False,18210,18330,18331,121,1
379172703886,16,5,37,0,False,19420,19540,19627,207,29
379172703886,12,4,0,0,False,14521,14641,14668,147,6
379172703886,12,4,10,0,False,15828,15948,15952,124,1
379172703886,12,4,14,0,False,16758,16878,16879,121,1
379172703886,12,4,18,0,False,17965,18085,18117,152,7
379172703886,12,4,18,1,False,18417,18537,18544,127,2
379172703886,22,5,2,0,False,15148,15268,15269,121,1
379172703886,22,5,3,0,False,15886,16006,16007,121,1
379172703886,22,5,7,0,False,17473,17593,17680,207,29
379172703886,22,5,7,1,False,17680,17800,17801,121,1
379172703886,22,5,8,0,False,18154,18274,18361,207,29
379172703886,13,6,1,0,True,28148,28268,28269,121,1
379172703886,13,6,3,0,True,28437,28557,28644,207,29
379172703886,13,6,3,1,True,28644,28764,28851,207,29
379172703886,13,6,3,2,True,28851,28971,28972,121,1
379172703886,13,6,4,0,True,29271,29391,29478,207,29
379172703886,2,3,0,0,True,22427,22547,22549,,1
379172703886,2,3,0,1,True,22849,22969,22987,,6
379172703886,2,3,0,2,True,22987,23107,23194,,29
379172703886,2,3,1,0,True,28663,28783,28797,,5
379172703886,2,3,1,1,True,29097,29217,29218,,1
379172703886,4,1,0,0,True,14521,14641,14673,152,11
379172703886,4,1,0,1,True,14973,15093,15123,150,10
379172703886,4,1,0,2,True,15123,15243,15330,207,29
379172703886,4,1,1,0,True,18476,18596,18670,194,25
379172703886,4,1,3,0,True,19348,19468,19469,121,1
